softID	hardID	geom_i	geom_j	G-APD	V_op	HV_B	HV_C	pos_X	pos_Y	radius
0	1036	0	0	957	70.59	4	7	0	0.5	0.25
1	1033	0	1	997	70622	4	6	0	-0.5	0.25
2	1034	-1	0	1087	70.59	4	7	-0.87	0	0.75
3	1037	-1	-1	844	70.59	4	7	-0.87	1	1.75
4	3020	0	-1	769	70592	9	4	0	1.5	2.25
5	1038	1	-1	923	70.59	4	7	0.87	1	1.75
6	1035	1	0	977	70.59	4	7	0.87	0	0.75
7	1032	1	1	1107	70622	4	6	0.87	-1	1.75
8	1030	0	2	915	70622	4	6	0	-1.5	2.25
9	1031	-1	1	777	70622	4	6	-0.87	-1	1.75
10	1028	-2	1	906	70707	4	5	-1.73	-0.5	3.25
11	2732	-2	0	1090	70677	6	30	-1.73	0.5	3.25
12	2735	-2	-1	1200	70688	6	31	-1.73	1.5	5.25
13	3021	-1	-2	1338	70592	9	4	-0.87	2	4.75
14	3023	0	-2	794	70592	9	4	0	2.5	6.25
15	3022	1	-2	985	70592	9	4	0.87	2	4.75
16	3034	2	-1	898	70.62	9	7	1.73	1.5	5.25
17	3031	2	0	900	70.62	9	6	1.73	0.5	3.25
18	737	2	1	465	70794	1	31	1.73	-0.5	3.25
19	734	2	2	513	70794	1	31	1.73	-1.5	5.25
20	1018	1	2	1193	70764	4	3	0.87	-2	4.75
21	1016	0	3	466	70764	4	3	0	-2.5	6.25
22	1017	-1	2	1177	70764	4	3	-0.87	-2	4.75
23	1025	-2	2	530	70707	4	5	-1.73	-1.5	5.25
24	1026	-3	1	1085	70707	4	5	-2.6	-1	7.75
25	2730	-3	0	802	70677	6	30	-2.6	0	6.75
26	2733	-3	-1	916	70677	6	30	-2.6	1	7.75
27	2736	-3	-2	954	70688	6	31	-2.6	2	10.75
28	2738	-2	-2	932	70688	6	31	-1.73	2.5	9.25
29	3024	-1	-3	1088	70574	9	5	-0.87	3	9.75
30	3026	0	-3	907	70574	9	5	0	3.5	12.25
31	3025	1	-3	778	70574	9	5	0.87	3	9.75
32	3037	2	-2	1089	70.62	9	7	1.73	2.5	9.25
33	3036	3	-2	561	70.62	9	7	2.6	2	10.75
34	3033	3	-1	940	70.62	9	6	2.6	1	7.75
35	3030	3	0	929	70.62	9	6	2.6	0	6.75
36	736	3	1	563	70794	1	31	2.6	-1	7.75
37	733	3	2	1197	70721	1	30	2.6	-2	10.75
38	731	2	3	899	70721	1	30	1.73	-2.5	9.25
39	1015	1	3	1195	70764	4	3	0.87	-3	9.75
40	1013	0	4	159	70735	4	2	0	-3.5	12.25
41	1014	-1	3	157	70764	4	3	-0.87	-3	9.75
42	1022	-2	3	896	70763	4	4	-1.73	-2.5	9.25
43	1023	-3	2	911	70763	4	4	-2.6	-2	10.75
44	1024	-4	2	522	70707	4	5	-3.46	-1.5	14.25
45	1027	-4	1	556	70707	4	5	-3.46	-0.5	12.25
46	2731	-4	0	856	70677	6	30	-3.46	0.5	12.25
47	2734	-4	-1	927	70688	6	31	-3.46	1.5	14.25
48	2737	-4	-2	946	70688	6	31	-3.46	2.5	18.25
49	2720	-3	-3	453	70879	6	28	-2.6	3	15.75
50	2722	-2	-3	883	70879	6	28	-1.73	3.5	15.25
51	3027	-1	-4	937	70574	9	5	-0.87	4	16.75
52	3010	0	-4	1184	70819	9	2	0	4.5	20.25
53	3028	1	-4	886	70574	9	5	0.87	4	16.75
54	3111	2	-3	799	70754	9	10	1.73	3.5	15.25
55	3110	3	-3	419	70754	9	10	2.6	3	15.75
56	3038	4	-2	528	70.62	9	7	3.46	2.5	18.25
57	3035	4	-1	878	70.62	9	7	3.46	1.5	14.25
58	3032	4	0	986	70.62	9	6	3.46	0.5	12.25
59	738	4	1	514	70794	1	31	3.46	-0.5	12.25
60	735	4	2	1198	70794	1	31	3.46	-1.5	14.25
61	732	4	3	842	70721	1	30	3.46	-2.5	18.25
