,id,pos_X,pos_Y
0,0,18.19,-3.0
1,1,19.05,-3.5
2,2,17.32,-3.5
3,3,18.19,-4.0
4,4,19.05,-4.5
5,5,17.32,-4.5
6,6,18.19,-5.0
7,7,19.05,-5.5
8,8,17.32,-5.5
9,9,18.19,0.0
10,10,19.05,-0.5
11,11,17.32,-0.5
12,12,18.19,-1.0
13,13,19.05,-1.5
14,14,17.32,-1.5
15,15,18.19,-2.0
16,16,19.05,-2.5
17,17,17.32,-2.5
18,18,15.59,-7.5
19,19,14.72,-7.0
20,20,16.45,-7.0
21,21,15.59,-6.5
22,22,14.72,-6.0
23,23,16.45,-6.0
24,24,15.59,-5.5
25,25,14.72,-5.0
26,26,16.45,-5.0
27,27,15.59,-4.5
28,28,14.72,-4.0
29,29,16.45,-4.0
30,30,15.59,-3.5
31,31,14.72,-3.0
32,32,16.45,-3.0
33,33,15.59,-2.5
34,34,14.72,-2.0
35,35,16.45,-2.0
36,36,12.99,-12.0
37,37,12.12,-11.5
38,38,13.86,-11.5
39,39,12.99,-11.0
40,40,12.12,-10.5
41,41,13.86,-10.5
42,42,12.99,-10.0
43,43,12.12,-9.5
44,44,13.86,-9.5
45,45,12.99,-14.0
46,46,13.86,-13.5
47,47,12.99,-13.0
48,48,12.12,-12.5
49,49,14.72,-13.0
50,50,13.86,-12.5
51,51,14.72,-12.0
52,52,15.59,-11.5
53,53,14.72,-11.0
54,54,16.45,-11.0
55,55,15.59,-10.5
56,56,16.45,-10.0
57,57,17.32,-9.5
58,58,14.72,-10.0
59,59,15.59,-9.5
60,60,14.72,-9.0
61,61,15.59,-8.5
62,62,14.72,-8.0
63,63,16.45,-9.0
64,64,17.32,-8.5
65,65,16.45,-8.0
66,66,18.19,-8.0
67,67,17.32,-7.5
68,68,18.19,-7.0
69,69,17.32,-6.5
70,70,19.05,-6.5
71,71,18.19,-6.0
72,72,10.39,-13.5
73,73,9.53,-13.0
74,74,11.26,-13.0
75,75,10.39,-12.5
76,76,9.53,-12.0
